movie_title,year,tagline,plot,cast,duration,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,avg_vote,total_votes,us_voters_votes,votes,votes_1,votes_2,votes_3,votes_4,votes_5,votes_6,votes_7,votes_8,votes_9,votes_10,popularity,director_score,actor_score,actress_score,tagline_sentiment,plot_sentiment,total_score,profitable,budget,revenue,budget_adj,revenue_adj
The Rescuers,1977,Two tiny agents vs. the world's wickedest woman in a dazzling animated adventure!,Two mice of the Rescue Aid Society search for a little girl kidnapped by unscrupulous treasure hunters.,"Bob Newhart, Eva Gabor, Geraldine Page, Joe Flynn, Jeanette Nolan, Pat Buttram, Jim Jordan, John McIntire, Michelle Stacy, Bernard Fox, Larry Clemmons, James MacDonald, George Lindsey, Bill McMillian, Dub Taylor",78,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,56808.0,14219.0,56808.0,297.0,292.0,520.0,1319.0,4097.0,11862.0,20186.0,10197.0,3428.0,4610.0,1.719,7.238,6.425,6.975,-0.4389,0.6705,6.975,1,1200000,71215869,4317337,256219102
The Rescuers Down Under,1990,Unknown,"The R.A.S. agents, Miss Bianca and Bernard, race to Australia to save a little boy and a rare golden eagle from a murderous poacher.","Bob Newhart, Eva Gabor, John Candy, Tristan Rogers, Adam Ryen, George C. Scott, Wayne Robson, Douglas Seale, Frank Welker, Bernard Fox, Peter Firth, Billy Barty, Ed Gilbert, Carla Meyer, Russi Taylor",77,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,37382.0,11113.0,37382.0,264.0,191.0,391.0,978.0,3012.0,7891.0,12582.0,6527.0,2453.0,3093.0,0.298,6.925,6.643,6.9,0.0,-0.3818,6.975,0,37931000,27931461,63302990,46614774
The Return,1997,The past never dies. It kills.,"Two young children and an adult in a small town have an encounter with an alien spaceship. 25 years later the children, one of whom is now the local sheriff, are reunited as adults in the ...","Jan-Michael Vincent, Cybill Shepherd, Martin Landau, Raymond Burr, Neville Brand, Brad Rearden, Vincent Schiavelli, Ernest Anderson, Darby Hinton, Steven Hirsch, Susan Kiger, Ken Minyard, Roger Hampton, Hilary Farr, Candy Castillo",91,0.0,0.0,0.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.333,0.0,0.0,0.667,0.333,0.333,0.0,0.667,0.0,0.0,4.4,4009.0,1110.0,4009.0,325.667,279.667,407.667,633.0,759.333,590.667,344.667,206.333,143.667,318.333,0.189,4.4,5.528,6.271,0.431,0.0,4.908,0,15000000,11992014,16225037,12971391
The Revenant,2009,"(n. One who has returned, as if from the dead.)","In Los Angeles, a fallen soldier who has joined the ranks of the living dead reunites with his best friend in order to deal with the city's drug dealers and killers - a perfect way to collect the blood that one of them so desperately needs.","David Anders, Chris Wylde, Louise Griffiths, Jacy King, Eric Payne, Bernardo Badillo, Theda Reichman, Richard Reichman, Wally White, Floyd Van Buskirk, Mark Elias, Zoë Simpson Dean, David St. James, Frante Foggie, Kevin Lyons",117,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,10522.0,2015.0,10522.0,316.0,168.0,328.0,579.0,1190.0,2533.0,2759.0,1475.0,577.0,597.0,9.111,6.3,6.3,5.933,0.0,-0.5214,6.5,1,135000000,532950503,62099972,245157123
The Ring,1977,"Before you die, you see.","A young American of Mexican decent in East Los Angeles, California uses the boxing ring to make a better life for himself and his family, and learns as much about being a Latino in a white society as he does about boxing.","Gerald Mohr, Rita Moreno, Lalo Rios, Robert Arthur, Robert Osterloh, Martin Garralaga, Art Aragon, Jack Elam, Peter Brocco, Robert Shayne, Julia Montoya, Lillian Molieri, Pepe Hern, Victor Millan, Tony Martinez",79,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.6,157870.0,28387.0,157870.0,1884.5,1285.0,2081.5,4027.5,9724.5,24251.0,48276.0,37478.0,15623.5,13238.5,1.36,6.892,6.099,6.662,-0.5994,0.4404,6.613,1,48000000,249348933,58188546,302276085
The Road,2009,In a moment the world changed forever.,"In a dangerous post-apocalyptic world, an ailing father defends his son as they slowly travel to the sea.","Viggo Mortensen, Kodi Smit-McPhee, Robert Duvall, Guy Pearce, Molly Parker, Michael Kenneth Williams, Garret Dillahunt, Charlize Theron, Bob Jennings, Agnes Herrmann, Buddy Sosthand, Kirk Brown, Jack Erdie, David August Lindauer, Gina Preciado",111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,219723.0,33619.0,219723.0,2549.0,1692.0,2590.0,4969.0,11325.0,29631.0,63136.0,60075.0,26064.0,17692.0,1.219,7.25,6.556,6.556,0.0,-0.4767,7.2,0,32000000,27635305,32524813,28088536
The Road to El Dorado,2000,They came for the gold... they stayed for the adventure.,"Two swindlers get their hands on a map to the fabled city of gold, El Dorado.","Kevin Kline, Kenneth Branagh, Rosie Perez, Armand Assante, Edward James Olmos, Jim Cummings, Frank Welker, Tobin Bell, Duncan Marjoribanks, Elijah Chiang, Cyrus Shaki-Khan, Elton John",89,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,82217.0,14338.0,82217.0,559.0,388.0,847.0,2108.0,6253.0,16210.0,25448.0,15270.0,6535.0,8599.0,1.085,6.75,6.175,6.8,0.3182,0.0,6.95,0,95000000,76432727,120297750,96786159
The Rocker,2008,Opportunity rocks.,"In the 1980s, a drummer is abandoned by his band just before they become rock superstars. Twenty years later, the drummer sees his second chance at stardom arise when he is asked to perform with his teenage nephew's high school rock band.","Rainn Wilson, Christina Applegate, Teddy Geiger, Josh Gad, Emma Stone, Jeff Garlin, Jane Lynch, Jason Sudeikis, Will Arnett, Howard Hesseman, Fred Armisen, Bradley Cooper, Lonny Ross, Jon Glaser, Jane Krakowski",102,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,36404.0,10427.0,36404.0,728.0,490.0,976.0,2107.0,5126.0,9680.0,9420.0,4221.0,1462.0,2194.0,0.616,6.2,6.367,6.096,0.4215,-0.25,6.175,0,15000000,8762890,15191799,8874937
The Rocketeer,1991,"Three years before the United States declares war, Cliff Secord leads America's first battle against the Nazis.",A young pilot stumbles onto a prototype jetpack that allows him to become a high-flying masked hero.,"Billy Campbell, Jennifer Connelly, Alan Arkin, Timothy Dalton, Paul Sorvino, Terry O'Quinn, Ed Lauter, James Handy, Robert Miranda, John Lavachielli, Jon Polito, Eddie Jones, William Sanderson, Don Pugsley, Nada Despotovich",108,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,52018.0,17791.0,52018.0,537.0,549.0,1094.0,2596.0,6435.0,13102.0,13594.0,7683.0,2930.0,3498.0,0.964,6.475,6.272,6.522,-0.5719,0.5574,6.7,1,42000000,62000000,67245899,99267756
The Romantics,2010,Unknown,Seven close friends reunite for the wedding of two of their friends. Problems arise because the bride and the maid of honor have had a long rivalry over the groom.,"Katie Holmes, Josh Duhamel, Anna Paquin, Malin Akerman, Adam Brody, Dianna Agron, Jeremy Strong, Rebecca Lawrence Levy, Candice Bergen, Elijah Wood, James K. Schaffer, Rosemary Murphy, Warrent F. McKnight, Will Hutchins, Evelyn Aronin",95,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.1,11559.0,1782.0,11559.0,672.0,649.0,952.0,1715.0,2568.0,2250.0,1308.0,594.0,305.0,546.0,0.386,5.1,6.079,5.963,0.0,0.7717,5.075,0,4500000,123820,4500000,123820
