movie_title,year,tagline,plot,cast,duration,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,total_votes,us_voters_votes,votes,votes_1,votes_2,votes_3,votes_4,votes_5,votes_6,votes_7,votes_8,votes_9,votes_10,popularity,director_score,actor_score,actress_score,tagline_sentiment,plot_sentiment,imdb_score,profitable,budget,revenue,budget_adj,revenue_adj
My Best Friend's Girl,2008,It's funny what love can make you do...,Tank faces the ultimate test of friendship when his best friend hires him to take his ex-girlfriend out on a lousy date in order to make her realize how great her former boyfriend is.,"Dane Cook, Kate Hudson, Alec Baldwin, Jason Biggs, Diora Baird, Lizzy Caplan, Riki Lindhome, Mini Anden, Hilary Pingle, Nate Torrence, Malcolm Barrett, Taran Killam, Faye Grant, Richard Snee, Amanda Brooks",101,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42133.0,7772.0,42133.0,1546.0,1053.0,1702.0,3262.0,7032.0,10771.0,8336.0,4118.0,1688.0,2625.0,0.335116,6.475,6.1701587301587315,6.058333333333334,0.7964,0.8979,5.9,1,20000000,36620508,20255732,37088761
My Best Friend's Wedding,1997,It's about finding the love of your life. And deciding what to do about it.,"When a woman's long-time friend reveals he's engaged, she realizes she loves him herself and sets out to get him, with only days before the wedding.","Julia Roberts, Dermot Mulroney, Cameron Diaz, Rupert Everett, Philip Bosco, M. Emmet Walsh, Rachel Griffiths, Carrie Preston, Susan Sullivan, Christopher Masterson, Raci Alexander, Jennifer Garrett, Kelleia Sheerin, Bree Turner, Cassie Creasy",105,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,125963.0,24069.0,125963.0,1873.0,1649.0,2978.0,6560.0,16412.0,32898.0,31734.0,17023.0,6918.0,7918.0,0.797298,6.1,5.220000000000001,6.290740740740739,0.6369,0.8625,6.3,1,38000000,299288605,51621492,406571694
My Cousin Vinny,1992,"Truth, Justice and the Gambini Way","Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience.","Joe Pesci, Ralph Macchio, Marisa Tomei, Mitchell Whitfield, Fred Gwynne, Lane Smith, Austin Pendleton, Bruce McGill, Maury Chaykin, Paulene Myers, Raynor Scheine, James Rebhorn, Chris Ellis, Michael Simpson, Lou Walker",120,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104026.0,34943.0,104026.0,363.0,261.0,471.0,1188.0,3534.0,10721.0,27778.0,31845.0,14970.0,12895.0,0.440854,6.333333333333335,7.215555555555555,6.512499999999998,0.6908,-0.7506,7.6,1,11000000,64088552,17094266,99595164
My Favorite Martian,1999,The martian has landed. There goes the neighborhood.,A Martian lands on Earth and makes friends with a reporter.,"Christopher Lloyd, Jeff Daniels, Elizabeth Hurley, Daryl Hannah, Wallace Shawn, Christine Ebersole, Michael Lerner, Ray Walston, Shelley Malil, Jeremy Hotz, T.K. Carter, Dawn Maxey, Steven Anthony Lawrence, Michael Chieffo, Troy Evans",94,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12660.0,3739.0,12660.0,612.0,694.0,1166.0,2034.0,2804.0,2347.0,1343.0,650.0,258.0,752.0,0.88284,6.000000000000001,6.3508771929824555,6.0875,0.0,0.4767,5.1,0,65000000,36850101,85088435,48238729
My Soul to Take,2010,Only One Has The Power To Save Their Souls,A serial killer returns to his hometown to stalk seven children who share the same birthday as the date he was allegedly put to rest.,"Max Thieriot, John Magaro, Denzel Whitaker, Zena Grey, Nick Lashaway, Paulina Olszynski, Jeremy Chu, Emily Meade, Raúl Esparza, Jessica Hecht, Frank Grillo, Danai Gurira, Harris Yulin, Shareeka Epps, Elena Hurst",107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,19298.0,5430.0,19298.0,1487.0,1426.0,1915.0,2937.0,3672.0,3080.0,1919.0,1079.0,523.0,1260.0,0.597254,6.0249999999999995,5.288888888888889,4.6,0.4939,-0.4767,4.8,0,25000000,19829957,25000000,19829957
Mystery Men,1999,"We're not your classic heroes, we're the other guys.",A group of inept amateur superheroes must try to save the day when a supervillain threatens to destroy a major superhero and the city.,"Hank Azaria, Janeane Garofalo, William H. Macy, Kel Mitchell, Paul Reubens, Ben Stiller, Wes Studi, Greg Kinnear, Geoffrey Rush, Lena Olin, Eddie Izzard, Artie Lange, Pras Michel, Claire Forlani, Tom Waits",121,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61124.0,22236.0,61124.0,1705.0,1511.0,2576.0,4458.0,8500.0,13687.0,13482.0,8087.0,3205.0,3913.0,0.636432,6.1,6.633333333333333,6.316666666666666,-0.4023,-0.4404,6.1,0,68000000,29762011,89015593,38960045
Napoleon Dynamite,2004,He's out to prove he's got nothing to prove.,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.","Jon Heder, Jon Gries, Aaron Ruell, Efren Ramirez, Diedrich Bader, Tina Majorino, Sandy Martin, Haylie Duff, Trevor Snarr, Shondrella Avery, Bracken Johnson, Carmen Brady, Ellen Dubin, J.C. Cunningham, Jimmy Stevens",96,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194951.0,64642.0,194951.0,9379.0,4004.0,4869.0,6895.0,12145.0,23985.0,43615.0,39467.0,21271.0,29321.0,0.577759,6.166666666666667,6.273809523809524,6.273809523809524,0.0,0.8126,6.9,1,400000,46118097,461778,53240824
National Lampoon's Christmas Vacation,1989,Yule crack up.,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.,"Chevy Chase, Beverly D'Angelo, Juliette Lewis, Johnny Galecki, John Randolph, Diane Ladd, E.G. Marshall, Doris Roberts, Randy Quaid, Miriam Flynn, Cody Burger, Ellen Latzen, William Hickey, Mae Questel, Sam McMurray",97,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148350.0,50044.0,148350.0,1121.0,926.0,1540.0,3032.0,6874.0,15435.0,31683.0,36902.0,21637.0,29200.0,1.859089,5.58,6.921428571428571,6.741666666666666,0.0,-0.6249,7.6,1,27000000,71320000,47492593,125450805
National Treasure,2004,The greatest adventure history has ever revealed.,A historian races to find the legendary Templar Treasure before a team of mercenaries.,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean, Jon Voight, Harvey Keitel, Christopher Plummer, David Dayan Fisher, Stewart Finlay-McLennan, Oleg Taktarov, Stephen A. Pope, Annie Parisse, Mark Pellegrino, Armando Riesco, Erik King",131,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,299339.0,61841.0,299339.0,2875.0,2317.0,4364.0,9333.0,22672.0,56739.0,98960.0,58663.0,21725.0,21691.0,2.906282,6.42,6.136534391534393,6.75,0.7579,0.296,6.9,1,100000000,347451894,115444540,401114240
National Treasure: Book of Secrets,2007,The Greatest Adventure History Has Ever Revealed,Benjamin Gates must follow a clue left in,"Nicolas Cage, Justin Bartha, Diane Kruger, Jon Voight, Helen Mirren, Ed Harris, Harvey Keitel, Bruce Greenwood, Ty Burrell, Michael Maize, Timothy V. Murphy, Alicia Coppola, Armando Riesco, Albert Hall, Joel Gretsch",124,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,215254.0,43935.0,215254.0,2982.0,2250.0,4219.0,9289.0,22840.0,52074.0,65064.0,31420.0,10974.0,14142.0,2.523173,6.42,6.306904761904762,6.75,0.7579,0.0,6.5,1,130000000,457363168,136716915,480994474
